,Name,Sex,Age,Team,Games,Year,Season,Sport,Medal
3,Edgar Lindenau Aabye,M,34.0,Denmark/Sweden,1900 Summer,1900,Summer,Tug-Of-War,3
37,Arvo Ossian Aaltonen,M,30.0,Finland,1920 Summer,1920,Summer,Swimming,1
38,Arvo Ossian Aaltonen,M,30.0,Finland,1920 Summer,1920,Summer,Swimming,1
40,Juhamatti Tapio Aaltonen,M,28.0,Finland,2014 Winter,2014,Winter,Ice Hockey,1
41,Paavo Johannes Aaltonen,M,28.0,Finland,1948 Summer,1948,Summer,Gymnastics,1
42,Paavo Johannes Aaltonen,M,28.0,Finland,1948 Summer,1948,Summer,Gymnastics,3
44,Paavo Johannes Aaltonen,M,28.0,Finland,1948 Summer,1948,Summer,Gymnastics,3
48,Paavo Johannes Aaltonen,M,28.0,Finland,1948 Summer,1948,Summer,Gymnastics,3
50,Paavo Johannes Aaltonen,M,32.0,Finland,1952 Summer,1952,Summer,Gymnastics,1
60,Kjetil Andr Aamodt,M,20.0,Norway,1992 Winter,1992,Winter,Alpine Skiing,3
61,Kjetil Andr Aamodt,M,20.0,Norway,1992 Winter,1992,Winter,Alpine Skiing,1
63,Kjetil Andr Aamodt,M,22.0,Norway,1994 Winter,1994,Winter,Alpine Skiing,2
64,Kjetil Andr Aamodt,M,22.0,Norway,1994 Winter,1994,Winter,Alpine Skiing,1
67,Kjetil Andr Aamodt,M,22.0,Norway,1994 Winter,1994,Winter,Alpine Skiing,2
73,Kjetil Andr Aamodt,M,30.0,Norway,2002 Winter,2002,Winter,Alpine Skiing,3
76,Kjetil Andr Aamodt,M,30.0,Norway,2002 Winter,2002,Winter,Alpine Skiing,3
78,Kjetil Andr Aamodt,M,34.0,Norway,2006 Winter,2006,Winter,Alpine Skiing,3
79,Ragnhild Margrethe Aamodt,F,27.0,Norway,2008 Summer,2008,Summer,Handball,3
86,Alf Lied Aanning,M,24.0,Norway,1920 Summer,1920,Summer,Gymnastics,2
91,Willemien Aardenburg,F,22.0,Netherlands,1988 Summer,1988,Summer,Hockey,1
92,Pepijn Aardewijn,M,26.0,Netherlands,1996 Summer,1996,Summer,Rowing,2
105,Ann Kristin Aarnes,F,23.0,Norway,1996 Summer,1996,Summer,Football,1
106,Karl Jan Aas,M,20.0,Norway,1920 Summer,1920,Summer,Gymnastics,2
110,Roald Edgar Aas,M,23.0,Norway,1952 Winter,1952,Winter,Speed Skating,1
113,Roald Edgar Aas,M,31.0,Norway,1960 Winter,1960,Winter,Speed Skating,3
